,index,lamda,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
29,20141031,0.0011375687843921962,0.04848347195270927,-0.025211673474778817,-0.0,-0.013558589226408724,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011337743409523503,-0.01077060686439042
30,2014130,0.0038149074537268636,0.042362893138549115,-0.019661552400647216,-0.0,-0.0,-0.0,-0.011518191892098746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,2017531,0.00496448224112056,0.04630068186617023,-0.021434680637826938,-0.0,-0.0,-0.0,-0.034130862530174805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,2014331,0.004451225612806403,0.04107805104162594,-0.02002482810319051,-0.0,-0.0,-0.0,-0.004293337887303159,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
33,20161130,0.004814407203601801,0.053537943815070765,-0.03383825941631158,-0.0,-0.0,-0.0,-0.06948323827246322,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,20171130,0.005141570785392697,0.045743329557285856,-0.01726483996230859,-0.0,-0.0,-0.02281851463030201,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
35,2016930,0.0057028514257128566,0.05153597868080467,-0.03187783388836369,-0.0,-0.0,-0.027391928315825122,-0.03284769105444429,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,2017731,0.005657828914457229,0.04544481942002917,-0.0158646903675173,-0.0,-0.0,-0.02876676926473504,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
37,2015130,0.003823911955977989,0.044527538866209034,-0.020963106408495052,-0.0,-0.0,-0.0,-0.020838255507449818,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,2016531,0.005798899449724863,0.05156479667223597,-0.0296995441337604,-0.0,-0.0,-0.03821401822082863,-0.02106995081968017,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
39,2015331,0.0055677838919459734,0.04440793424789244,-0.020027839225742153,-0.0,-0.0,-0.005689154068298559,-0.01794680682032416,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,20131129,0.003583791895947974,0.042441836167690705,-0.021069613645664807,-0.0,-0.0,-0.0,-0.008195416013289906,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
41,20151030,0.0032386193096548277,0.051480735028289384,-0.03308711854150134,-0.0,-0.0,-0.0,-0.03109916308819936,-0.019273808591388615,-0.0,-0.0,-0.0,-0.0,-0.0
42,2017228,0.003958979489744873,0.044737163270756525,-0.022975529394104872,-0.0,-0.0,-0.0,-0.03380031400458878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
43,2018427,0.0009004502251125563,0.05058541862055341,-0.024242601893155906,-0.009377796861843856,-0.007238474146692547,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.028690270568448258
44,20141231,0.005036518259129565,0.04691683248673936,-0.026531249855658134,-0.0,-0.0,-0.0,-0.0,-0.02984214173869004,-0.0,-0.0,-0.0,-0.0,-0.0
45,20151231,0.00247623811905953,0.05116521644320439,-0.029884527778501785,-0.0,-0.0,-0.0,-0.0394994857726668,-0.01676688887795184,-0.0,-0.0,-0.0,-0.0,-0.0
46,2016229,0.003391695847923962,0.05182599510919712,-0.03507998665364681,-0.0,-0.0,-0.0,-0.04999932694297315,-0.0029266890640958793,-0.0,-0.0,-0.0,-0.0,-0.0
47,2017126,0.004277138569284643,0.050075747485982605,-0.02731173076325474,-0.0,-0.0,-0.0,-0.05277022327400668,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
